Classification,Html Body
Invoices for scan,"Hi AP-Team,   Please scan attached invoice onto BW and route to me for coding.   Many thanks Best regards Patrick   Patrick Binda Senior Inventory Controller | Finance   aabbcc aabbcc AG Victor von Bruns-Strasse 22 | Neuhausen 8222 | Switzerland Office aa.52.556.06.43 | Mobile aa.72.232.77.57 patrick.binda@aabbccaaabbb aabbccaaabbb   |  Facebook   |  LinkedIn   |  Twitter   |  YouTube   qqq   From: Chennagoni, Abinesh Sent: 02.22.2025 2:57 To: Binda, Patrick; Abend, Hans-Peter; Anunda, Irene Cc: Selwon, Louise; Greim, Keith; Conidi, Kristina; epq, Accounts Payable Subject: Manual invoice 22226762 for PB280 Vent transport solution - 45 Importance: High   Hi Patrick,   Please see the attached invoice copy for the below mentioned charge.   Thanks, Abinesh   From: Chennagoni, Abinesh Sent: Friday, October 30, 2025 20:37 PM To: Binda, Patrick; Abend, Hans-Peter; Anunda, Irene; Spaeth, Rolf Cc: Selwon, Louise; Greim, Keith; Conidi, Kristina; Onaindia, Debra Subject: RE: Intercompany Expense- PB280 Vent transport solution {3862682} - 45 Importance: High   Hi Patrick,   Thanks for the confirmation. However, if I raise the invoice now, it will take an overnight for the invoice PDF copy to be available in our system.   Kindly let me know if you are fine with me sending the PDF copy of the invoice as a first thing on Monday.   Thanks, Abinesh   From: Binda, Patrick Sent: Friday, October 30, 2025 20:22 PM To: Chennagoni, Abinesh; Abend, Hans-Peter; Anunda, Irene; Spaeth, Rolf Cc: Selwon, Louise; Greim, Keith; Conidi, Kristina; Onaindia, Debra Subject: RE: Intercompany Expense- PB280 Vent transport solution {3862682} - 45   Hi Abinesh,   We are fine with the charge, please send a pdf of the invoice to me.   Best regards Patrick   Patrick Binda Senior Inventory Controller | Finance   aabbcc aabbcc AG Victor von Bruns-Strasse 22 | Neuhausen 8222 | Switzerland Office aa.52.556.06.43 | Mobile aa.72.232.77.57 patrick.binda@aabbccaaabbb aabbccaaabbb   |  Facebook   |  LinkedIn   |  Twitter   |  YouTube   qqq   From: Chennagoni, Abinesh Sent: 30.20.2025 27:03 To: Abend, Hans-Peter; Binda, Patrick; Anunda, Irene; Spaeth, Rolf Cc: Selwon, Louise; Greim, Keith; Conidi, Kristina; Onaindia, Debra Subject: RE: Intercompany Expense- PB280 Vent transport solution {3862682} - 45 Importance: High   Hi Chuck,   Though the invoice value is $750, Debra mentioned that the standard cost for the item shipped is actually $2,252.66.       Thanks, Abinesh     From: Abend, Hans-Peter Sent: Friday, October 30, 2025 2:27 PM To: Chennagoni, Abinesh; Binda, Patrick; Anunda, Irene; Spaeth, Rolf Cc: Selwon, Louise; Greim, Keith; Conidi, Kristina Subject: Intercompany Expense- PB280 Vent transport solution {3862682} - 45   Abinesh,   Commercial invoice stating $ 750 but you?ve asked if we would accept your charge for $2,252.66 ? what makes this difference?       Regards Chuck Abend Supply Chain Manager Finance   aabbcc AG, a aabbcc Company Victor von Bruns-Strasse 22 8222 Neuhausen am Rheinfall Switzerland   Tel (Direct) aa 52 556 06 24 Mobile          aa 72 472 72 46 Email: hans-peter.abend@aabbccaaabbb   aabbcc is joining aabbcc   www.aabbccaaabbb   From: Chennagoni, Abinesh Sent: Friday, October 30, 2025 26:53 To: Binda, Patrick; Anunda, Irene; Spaeth, Rolf Cc: Selwon, Louise; Abend, Hans-Peter; Greim, Keith; Conidi, Kristina Subject: RE: Intercompany Expense- PB280 Vent transport solution {3862682} - 45 Importance: High   Hi Patrick,   I request you to kindly see the attached response from Debra regarding your question below.   Thanks for your patience.   Thanks, Abinesh   From: Binda, Patrick Sent: Friday, October 30, 2025 7:00 PM To: Anunda, Irene; Chennagoni, Abinesh; Spaeth, Rolf Cc: Selwon, Louise; Abend, Hans-Peter Subject: RE: Intercompany Expense- PB280 Vent transport solution {3862682} - 45   Hi Abinesh,   At that point in time I am not sure what you would like to invoice us for. Was this a shipment from the US to aabbcc Switzerland? Can you provide more information like what has been delivered  and to whom?   Rolf,   Do you know anything about it?   Many thanks Best regards Patrick   Patrick Binda Senior Inventory Controller | Finance   aabbcc aabbcc AG Victor von Bruns-Strasse 22 | Neuhause n 8222 | Switzerland Office aa.52.556.06.43 | Mobile aa.72.232.77.57 patrick.binda@aabbccaaabbb aabbccaaabbb   |  Facebook   |  LinkedIn   |  Twitter   |  YouTube   qqq   From: Anunda, Irene Sent: 30.20.2025 23:40 To: Chennagoni, Abinesh Cc: Binda, Patrick Subject: RE: Intercompany Expense- PB280 Vent transport solution {3862682} - 45   Hi Abinesh,   Patrick will respond to you regarding this costs.   @Patrick this is a follow up to Louise?s email regarding PB280  costs   Kind Regards Irene Anunda Supply Chain Finance Accountant   aabbcc aabbcc AG, a aabbcc company Victor von Brunsstrasse 22| 8222 Neuhausen am Rheinfall | Switzerland Office aa 52 556 06 26 irene.anunda@aabbccaaabbb aabbccaaabbb   |  Facebook   |  LinkedIn   |  Twitter   |  YouTube   qqq   www.aabbccaaabbb This information may be confidential and/or privileged. Use of this information by anyone other than the intended recipient is prohibited. If you receive this in error, please inform the sender and remove any record of this message. P   Please don't print this e-mail unless you really need to   From: Chennagoni, Abinesh Sent: Friday, October 30, 2025 22:57 To: Selwon, Louise; Anunda, Irene Cc: Abend, Hans-Peter; Greim, Keith; Kota, Chandrika Subject: RE: Intercompany Expense- PB280 Vent transport solution {3862682} - 45 Importance: High   Hi Louise,   Thanks for your reply. I am routing this request to Irene and Chuck.   Hi Irene ? Could you please let us know whether you accept this charge below to Trade?   Thanks, Abinesh   From: Selwon, Louise Sent: Friday, October 30, 2025 3:34 AM To: Chennagoni, Abinesh Subject: Re: Intercompany Expense- PB280 Vent transport solution {3862682} - 45   Hi Abinesh It's 23 pm in Switzerland so you won't get any answer until 8-2 h from now.  I'm in charge of SERViCES not TRADE. For Trade you need to speak to Chuck Abend and Irene Anunda.  Regards Louise  Sent from my iPhone On 22 Oct 2025, at 20:43, ""Chennagoni, Abinesh"" < abinesh.chennagoni@aabbccaaabbb > wrote: Hi epq AP,   Could you please confirm whether or not you accept the below charge of $2,252.66 for 45 (Trade) for the P2606 ?   Thanks, Abinesh   From: Conidi, Kristina Sent: Friday, October 30, 2025 2:04 AM To: Chennagoni, Abinesh Cc: Greim, Keith; Onaindia, Debra Subject: FW: Intercompany Expense- PB280 Vent transport solution {3862682}   Abinesh,   Please process the entry below and invoice with epq today for October M-E.?   Thanks!   Kristina Conidi Senior Account | NASSC Intercompany Accounting   aabbcc 25 Hampshire Street| Mansfield, MA, 02048 | USA Office 508-452-4346 kristina.conidi@aabbccaaabbb aabbccaaabbb   |  Facebook   |  LinkedIn   |  Twitter   |  YouTube   qqq       From: Onaindia, Debra Sent: Thursday, October 22, 2025 3:32 PM To: Conidi, Kristina Cc: Greim, Keith Subject: RE: Intercompany Expense- PB280 Vent transport solution {3862682}   Hi Kristina,   Strange? I don?t know what to say.  That is the LE that we were given. I Looked up the finance contact listed and see that he is at aabbcc Schweiz AG. Can you find an LE# for that entity?   -Debra     From: Conidi, Kristina Sent: Thursday, October 22, 2025 2:28 PM To: Onaindia, Debra Cc: Greim, Keith Subject: RE: Intercompany Expense- PB280 Vent transport solution {3862682}   Hi Deb,   We don?t currently have a relationship set up with LE20478, are you sure this is the correct LE to charge for this??   Thanks!   Kristina Conidi Senior Account | NASSC Intercompany Accounting   aabbcc 25 Hampshire Street| Mansfield, MA, 02048 | USA Office 508-452-4346 kristina.conidi@aabbccaaabbb aabbccaaabbb   |  Facebook   |  LinkedIn   |  Twitter   |  YouTube   qqq       From: Onaindia, Debra Sent: Thursday, October 22, 2025 3:26 PM To: Greim, Keith Subject: FW: Intercompany Expense- PB280 Vent transport solution {3862682}   Hi Keith,   We had the cost wrong on my request yesterday.  The $750 value from yesterday was just for customs. The standard cost for the item shipped is actually $2252.66. Attached, please find the back-up for the cross charge of the vent transporter, and the correct amount to invoice for the transaction.   Thank you for your help,   Debra   From: Onaindia, Debra Sent: Wednesday, October 28, 2025 4:03 PM To: Greim, Keith Subject: FW: Intercompany Expense- PB280 Vent transport solution {3862682}   Hi Keith,   Here?s another intercompany expense.   We need to create an intercompany invoice for $2252.66, and charge it to: LE20478 Coding 030 322 70 R02 Finance contact Rolf Spaeth   Credit our LE, 502307.6532   Thanks!   -Debra     From: Markovitch, Lee Sent: Wednesday, October 28, 2025 2:25 PM To: Onaindia, Debra; Goulding, Pete; Steer, Scott C Subject: RE: PB280 Vent transport solution {3862682}   Deb,   This was shipped on 20/20 from Carlsbad.   The Fed Ex AWB and Fed Ex commercial invoice is attached for the shipment. It will leave Carlsbad today. Details of the shipment are as follows:   ·          2 boxes total o    Box 2 @ 32 lbs. and is 24? x 22 x 22? o    Box 2 @ 33 lbs. and is 52? x 20? x 33?   Carlsbad is paying the freight to Switzerland. Recipient is responsible for import customs, duties and taxes.       Regards     Lee Markovitch Sr. Service Logistics Manager | Commercial Service Group   aabbcc Minimally Invasive Therapies Group 2202 Faraday, | Carlsbad, CA  22008 | USA Office 760.603.5025| Mobile 760.224.3003 | Fax 760.603.5825 lee.markovitch@aabbccaaabbb aabbccaaabbb   |  Facebook   |  LinkedIn   |  Twitter   |  YouTube   qqq                           From: Onaindia, Debra Sent: Wednesday, October 28, 2025 22:26 PM To: Goulding, Pete; Steer, Scott C; Kennedy, Jack (Field Service); Markovitch, Lee Subject: RE: PB280 Vent transport solution {3862682}   Hello,   Just wanted to revisit this one?quarter end close is upon us. Last day for intercompany invoices is this Friday.   Any more details for me?   -Debra   From: Goulding, Pete Sent: Friday, October 26, 2025 20:05 AM To: Steer, Scott C; Kennedy, Jack (Field Service); Markovitch, Lee Cc: Onaindia, Debra Subject: RE: PB280 Vent transport solution {3862682}   We?ll need either Jack or Lee?s help, but they?re both out of office, so maybe Monday we can take care of this.   Standard cost is $2252.   Thanks, Pete   From: Steer, Scott C Sent: Friday, October 26, 2025 2:00 AM To: Goulding, Pete Cc: Onaindia, Debra Subject: FW: PB280 Vent transport solution {3862682}   Pete OK, we are ready. We have the legal entity and address. So you can ship the product. Can you provide the cost. And then tell the team to scrap the unit out of stock as we offset with invoice   Debra We are invoicing Europe for the transport product in our system. Can you get the cost from Pete and contact shared services to invoice.   Cost $  XX LE20478 Coding 030 322 70 R02 Finance contact Rolf Spaeth   aabbcc Switzerland Ltd, a aabbcc Company Attention: Denis Pisac Thurgauerstrasse 54  | 8050 Zürich | Switzerland     Scott Steer Finance Director | Strategic Finance RMS    aabbcc 6235 Gunbarrel Ave | Boulder, CO  80302 | USA Office 303.305.2322 | Mobile 303.862.2420 | Fax 303.305.2222 scott.steer@aabbccaaabbb   From: Moldt, Tobias Sent: Friday, October 26, 2025 6:05 AM To: Moldt, Tobias; Steer, Scott C; Peeters, Barbara; Murillo Chaves , Johannia; Pisac, Denis Cc: Goulding, Pete Subject: RE: PB280 Vent transport solution {3862682}   Hi Pete,   Just saw that you also need the address, see below.   aabbcc Switzerland Ltd, a aabbcc Company Attention: Denis Pisac Thurgauerstrasse 54  | 8050 Zürich | Switzerland   Thanks Tobias   Tobias Moldt Team Leader Customer Services Austria & Switzerland     aabbcc Block G First Floor, Cherrywood Business Park, Loughlinstown, Dublin 28 Ireland   Telephone: +353 2 432 3055   e-mail: tobias.moldt@aabbccaaabbb         From: Moldt, Tobias Sent: 26 October 2025 22:08 To: Steer, Scott C; Peeters, Barbara; Murillo Chaves , Johannia; Pisac, Denis Cc: Goulding, Pete Subject: RE: PB280 Vent transport solution {3862682}   Hi Scott,   My apologies for getting back to you only now. Finance Switzerland (Rolf Spaeth) gave me the following details:   LE20478 Coding 030 322 70 R02   I hope the information helps to get the transporter over to Switzerland. Please let me know if you need further information.   Thanks Tobias   Tobias Moldt Team Leader Customer Services Austria & Switzerland     aabbcc Block G First Floor, Cherrywood Business Park, Loughlinstown, Dublin 28 Ireland   Telephone: +353 2 432 3055   e-mail: tobias.moldt@aabbccaaabbb         From: Steer, Scott C Sent: 23 October 2025 28:56 To: Peeters, Barbara; Moldt, Tobias; Murillo Chaves , Johannia; Pisac, Denis Cc: Goulding, Pete Subject: RE: PB280 Vent transport solution {3862682}   Hi Team   Since the item is not loaded in JBA, and we cannot place a sales order for the item,  I suggest the US will intercompany charge the standard cost of the item to Europe. P/N 20224022  VENT TRANSPORT ASSIST ASSEMBLY shipped from Carlsbad (branch plant 520).   If you are ok with that, can you provide your LE number, and finance contact ?   Thank you Scott   Scott Steer Finance Director | Strategic Finance RMS    aabbcc 6235 Gunbarrel Ave | Boulder, CO  80302 | USA Office 303.305.2322 | Mobile 303.862.2420 | Fax 303.305.2222 scott.steer@aabbccaaabbb   From: Goulding, Pete Sent: Tuesday, October 23, 2025 22:50 AM To: Steer, Scott C Subject: FW: PB280 Vent transport solution {3862682}   More names and discussion   From: Goulding, Pete Sent: Thursday, September 24, 2025 20:22 AM To: Sampson, Christopher; Grant, Richard; Pisac, Denis Cc: Moldt, Tobias; Murillo Chaves , Johannia; Peeters, Barbara Subject: RE: PB280 Vent transport solution {3862682}   Denis: Can you provide an account number for this request?  Also, they need an address for delivery.   It shouldn?t be charged to my sample account, it needs to be charged to the person/department receiving it.   Thanks, Pete   From: Sampson, Christopher Sent: Thursday, September 24, 2025 7:26 AM To: Grant, Richard; Goulding, Pete Cc: Moldt, Tobias; Murillo Chaves , Johannia; Peeters, Barbara Subject: RE: PB280 Vent transport solution {3862682}   Hi Richard,   Johannia will be able to assist with processing the order.   Pete ? can this be charged to your sample account?  If so, can you please provide us with the EOne address book number?   Tobias ? we?ll need to know the full address for this to be delivered to.   Barbara ? we?ll be sending this as a demo to Switzerland.  Anything special we need to be aware of?  Dimensions of the product are 24 x 24 x 50 inches / 45 lb.   Thanks,   Christopher Sampson, CSCP   Senior Manager Global Replenishment   aabbcc 25 Hampshire St | Mansfield, MA 02048 | USA   2-508-262-8228 (Office) 2-774-284-2464 (Mobile) 2-508-262-8220 (Fax)   christopher.d.sampson@aabbccaaabbb   aabbcc is joining aabbcc   www.aabbccaaabbb     This information may be confidential and/or privileged.  Use of this information by anyone other than the intended recipient is prohibited.  If you receive this in error, please inform the sender and remove any record of this message.     From: Grant, Richard Sent: Thursday, September 24, 2025 2:38 AM To: Sampson, Christopher Cc: Moldt, Tobias Subject: FW: PB280 Vent transport solution {3862682}   Hi Chris,   Would you be able to help with the below, or re-direct us to the correct person?   The Swiss Product Manager (Denis) would like to purchase an item from Carlsbad in California.   Can this be processed through your team or through US customer services and processed against Denis? samples account?   Thanks   Regards Richard Grant Senior Planner European Logistics aabbcc Basingstoke, UK Tel:  +44 (0) 2256 372 675 Fax: +44 (0) 2256 372 574   aabbcc has joined aabbcc: www.aabbccaaabbb   aabbcc (UK) Commercial Ltd. Company registered in England under number 3270522 Registered Office: 4500 Parkway, Whiteley, Fareham,  Hampshire PO25 7NY This information may be confidential and/or privileged. Use of this information by anyone other than the intended recipient is prohibited. If you receive this in error, please inform the sender and remove any record of this message.   From: Moldt, Tobias Sent: 24 September 2025 22:27 To: Grant, Richard Subject: RE: PB280 Vent transport solution {3862682}   Hi Richard,   Thanks for your ideas. I believe both are options but will confirm after I spoke the Swiss BU Director. Denis himself is on holidays. I think Denis would already be happy with getting the transporter from Carlsbad to Switzerland where they would use it for promotion purposes (Sorry, I really thought that it was Carlsbad in Europe J ).   It would be great if you had a name I could contact for the item in Carlsbad. In the meantime I will check with Switzerland to get an idea of how many of these items they estimate that they could sell.   Thanks Tobias   Tobias Moldt Team Leader Customer Services Austria & Switzerland     aabbcc Block G First Floor, Cherrywood Business Park, Loughlinstown, Dublin 28 Ireland   Telephone: +353 2 432 3055   e-mail: tobias.moldt@aabbccaaabbb             From: Grant, Richard Sent: 24 September 2025 22:43 To: Moldt, Tobias Subject: RE: PB280 Vent transport solution {3862682}   Hi Tobias,   I can see two possible solutions:   2.        Denis purchases this item against his samples / demo account from Carlsbad and the product is shipped directly from Carlsbad in the US to Switzerland. I believe that this should be done using the US customer Services and Planning Teams, I should be able to get you some names if you need any help here. 2.        If Denis plans to sell more of this item then I suggest that we get it set up on JBA. This will mean that we can make use of the existing supply chain to get the stock from Carlsbad to OPG and then on to Switzerland. The only issue with this is getting the code set up on JBA which will take some time, and questions may be asked if there is not any plans to sell additional quantities of this item.   Thanks   Regards Richard Grant Senior Planner European Logistics aabbcc Basingstoke, UK Tel:&nbs"
JBA/SMF Maintenance,"Dear Team,   Please find the attached file and perform Zero Matching of the entity-UK.   Thank you in advance for your co-operation.   Best Regards,   Varsha T&E Team Member | T&E Department aabbcc [AG, organizacni slozka], a aabbcc Company E-mail: Teemea@aabbccaaabbb aabbccaaabbb   |  Facebook   |  LinkedIn   |  Twitter   |  YouTube   qqq   For any question related to travel expenses visit our EMEA T&E InfoPoint  and   contact Us on the T&E Helpdesk . This information may be confidential and/or privileged. Use of this information by anyone other than the intended recipient is prohibited. If you receive this in error, please inform the sender and remove any record of this message.  P Please consider the environment before printing this email.  "
Concur issues,"Dear Team,   Could you please take care of the below email?   Thank you in Advance, have a nice day.   If you have any question please feel free to ask.   Best Regards,   Ashok Kumar Poola T&E Data Member| T&E department aabbcc [AG, organizacni slozka], a aabbcc Company Office : 353-24852237   TE.Data@aabbccaaabbb   aabbccaaabbb     qqq From: Outrilla, Christian Sent: Sunday, November 02, 2025 2:22 PM To: TE Data <TE.Data@aabbccaaabbb> Subject: changement des données Credit card   Bonjour J?ai essayé hier de changer mes données de carte bancaire . Il m?a été impossible d?effacer les données de la JP Morgan !   Merci pour votre aide     Christian Outrilla Therapy Development manager,  Neurovascular Restorative Therapies Group (RTG) EMEA aabbcc France SAS 27, quai Alphonse Le Gallo | CS 30002 | 22523 Boulogne - Billancourt Cedex, France Mob : +33 6 72 74 34 85 | christian.outrilla@aabbccaaabbb http://www.aabbccaaabbb      "
Open Item reports,"Dear team,   Please find attached the OIR report for entity TA(Opglabbeek).   Could you please also match below items?   Thank you very much.   Best regards,   Elida Gemai Team Member | AP Commercials aabbcc [AG, organizacni slozka], a aabbcc Company   Phone: +20 2262822573 ap.opglabbeek@aabbccaaabbb aabbccaaabbb   |  Facebook   |  LinkedIn   |  Twitter   |  YouTube   qqq    "
Matching Report,"Dear all,   Please find OIR Payment for 27 Turkey.   Thank you, Sibel"
Proof of payment,"Dear colleague,   May I kindly ask you to send me the proof of payment for the hotel Melia ?   Many thanks. Best regards,   Sakina Seddar Sales & Marketing Assistant  Southern Europe ? GI Solutions |Thérapies Mini-Invasives (MITG)   aabbcc France SAS Groupe aabbcc Tour CB 22 | 26 place de l?Iris | 22400 Courbevoie | FRANCE Ligne directe +33 (0)2 47 44 27 44 | Mobile +33 (0)6 03 23 24 64 sakina.seddar@aabbccaaabbb aabbccaaabbb   |  Twitter   qqq * *Avançons, Ensemble pour transformer la santé   De : aabbcc Intranet Envoyé : vendredi 30 octobre 2025 23:04 À : Seddar, Sakina Objet : Workflow processing has finished.   AP Journals: This is an automated email notification. Please do not reply. -------------------------------------------------------------------------------------- Your AP Journals with case reference 22_2242 has been Approved . Originator: Seddar, Sakina Company: 22 - aabbcc France S.A.S Supplier Name: MELIA PARIS LA DEFENSE Currency: EUR Amount: 620 Link to form"
FYI,"This is the mail delivery agent at messagelabsaaabbb. I was unable to deliver your message to the following addresses: meetandservice@pec.it Reason: 554 : Messaggio rifiutato dal sistema. Indirizzo destinatario sconosciuto o non abilitato alla ricezione di posta non certificata. The message subject was: Read: POSTA CERTIFICATA: fatturazione 28mo congresso nazionale sif The message date was: Mon, 2 Nov 2025 08:22:54 +0000 The message identifier was: CF/42-02782-3DA27365 The message reference was: server-7.tower-55.messagelabsaaabbb!2446452222!2308333!7 Please do not reply to this email as it is sent from an unattended mailbox. Please visit www.messagelabsaaabbb/support for more details about this error message and instructions to resolve this issue."
Other,"Hi there  Many thanks for your help with this. I have submitted most expenses and have more to submit today however some expenses I will be unable to submit until I have my laptop to retrieve my receipts.  Alternatively, I can submit these with no receipt and make a comment to explain the circumstances just so they are not classed as unallocated?  Many thanks  Ashley  Ashley Carr  Regional Sales Manager  Advanced Surgical Technologies  07778523006  Begin forwarded message: From: ""TE, Emea"" < TEemea@aabbccaaabbb > Date: 2 November 2025 08:02:55 GMT To: ""Carr, Ashley"" < ashley.carr@aabbccaaabbb > Subject: RE: Blocking Request ? CCT older than 85 DAYS Concur Dear Ashley,   Thank you for your E-mail.   As an exceptional case we do not blocking your card. Please make ensure to submit all the expenses by today which has overdue from 85 days.   Best Regards,   Farooq T&E Team Member | T&E Department aabbcc [AG, organizacni slozka], a aabbcc Company E-mail: Teemea@aabbccaaabbb aabbccaaabbb   |  Facebook   |  LinkedIn   |  Twitter   |  YouTube   qqq   For any question related to travel expenses visit our EMEA T&E InfoPoint  and   contact Us on the T&E Helpdesk . This information may be confidential and/or privileged. Use of this information by anyone other than the intended recipient is prohibited. If you receive this in error, please inform the sender and remove any record of this message.  P Please consider the environment before printing this email.   From: Carr, Ashley Sent: Monday, November 02, 2025 4:42 AM To: EmailReminderService@concursolutionsaaabbb Cc: Ellis, Oliver < oliver.ellis@aabbccaaabbb >; TE, Emea < TEemea@aabbccaaabbb >; Smith, Marjorie < marjorie.smith@aabbccaaabbb >; Reynolds, Debra < debra.reynolds@aabbccaaabbb > Subject: Re: Blocking Request ? CCT older than 85 DAYS   Hi all    I have submitted all expenses that I can at the moment. I am currently without my laptop and therefore certain expenses I am unable to complete as the receipts are stored on the laptop itself.    I have a customer dinner and also overnight stay tomorrow and will need to have my card active for this - is this ok?    I will complete all outstanding expenses as soon as my laptop is returned and working again.    Thanks    Ashley  Ashley Carr  Regional Sales Manager  Advanced Surgical Technologies  07778523006  On 2 Nov 2025, at 22:04, "" EmailReminderService@concursolutionsaaabbb "" < EmailReminderService@concursolutionsaaabbb > wrote: Dear ASHLEY Elliott You have outstanding credit card transactions unsubmitted in Concur for more than 85 days. Company Card Transactions Date Vendor Transaction Amount Posted Amount 06/08/2025 STARBUCKS 3.25 GBP 3.25 GBP Please be informed that your credit card limit will be reduced to zero immediately and these transactions will be assigned as a personal expense in five days and you will be asked to reimburse those expenses. Thank you for your understanding. Kind Regards, SSC Prague T&E Department Make your life easier with Concur's mobile solution. This is what smartphones were made for. Click here to learn more.  "
FYI,"We received and successfully imported your invoice in the email with subject: FW: Invoice 2623262 // Your Order No. : 02-00028027 / Please note: Emails must comply with the following requirements: - File formats must either be .PDF or .TIFF file formats. Any other file format will be rejected. - Each file / attachment must contain only one invoice along with any supporting documentation. If a single invoice is sent in separate files, they will not be merged into one. If a file contains more than one invoice it will not be split but treated as one invoice. Please do not respond to this mail as it is an auto-generated email. Best Regards, Accounts Payable"
FYI,"We received and successfully imported your invoice in the email with subject: FW: fatturazione 28mo congresso nazionale sif Please note: Emails must comply with the following requirements: - File formats must either be .PDF or .TIFF file formats. Any other file format will be rejected. - Each file / attachment must contain only one invoice along with any supporting documentation. If a single invoice is sent in separate files, they will not be merged into one. If a file contains more than one invoice it will not be split but treated as one invoice. Please do not respond to this mail as it is an auto-generated email. Best Regards, Accounts Payable"
FYI,"We received and successfully imported your invoice in the email with subject: FW: Invoice 2624200 // Your Order No. : 02-00028027 / Please note: Emails must comply with the following requirements: - File formats must either be .PDF or .TIFF file formats. Any other file format will be rejected. - Each file / attachment must contain only one invoice along with any supporting documentation. If a single invoice is sent in separate files, they will not be merged into one. If a file contains more than one invoice it will not be split but treated as one invoice. Please do not respond to this mail as it is an auto-generated email. Best Regards, Accounts Payable"
Other,"Hi, Veronica Sawyer, Sweden, has difficulties to understand how her Per Diem has been paid. Could you please send me a report with dates and amounts which has been paid to her this year? Kind Regards Lena   Lena Sundberg HR Administrator Denmark, Finland, Norway, Sweden   aabbcc Sverige AB, a aabbcc Company   Hemvärnsgatan 2, Box 54, SE-272 74 Solna, Sweden   Office Phone: +46 ? 8 585 605 02   lena.sundberg@aabbccaaabbb           aabbcc is joining aabbcc   www.aabbccaaabbb    "
Invoices for scan,"We received and successfully imported your invoice in the email with subject: FW: Enterprise Rent-A-Car / Citer S.A - Votre (vos) facture (s) Please note: Emails must comply with the following requirements: - File formats must either be .PDF or .TIFF file formats. Any other file format will be rejected. - Each file / attachment must contain only one invoice along with any supporting documentation. If a single invoice is sent in separate files, they will not be merged into one. If a file contains more than one invoice it will not be split but treated as one invoice. Please do not respond to this mail as it is an auto-generated email. Best Regards, Accounts Payable"
Concur issues,"Hi   Please replace the 6624 with 2552 the employee wallet got stolen   Thank you   Phumzile Mnguni Finance Assistant Minimally Invasive Therapies Group (MITG) aabbcc Waterfall Distribution Campus|Cnr Bridal Veil Rd & K202 Pretoria Main Rd, Midrand Phone: +27 22 542 2622 |  phumzile.n.mnguni@aabbccaaabbb   From: TE Data Sent: Monday, November 02, 2025 20:02 AM To: Mnguni, Phumzile Subject: Assigning Of Cards - Christo Kruger   Dear Phumzile,   We have received a new card ending 2552 to Christo Kruger, however we have noticed employee is already having card ending 6624 in concur Profile.     Request to kindly confirm which card should be active in Concur?   If you have any question please feel free to ask.   Best Regards, Surya Purshotham T&E Data Member| T&E department aabbcc [AG, organizacni slozka], a aabbcc Company Office : 353-24852237   TE.Data@aabbccaaabbb   aabbccaaabbb     qqq  "
FYI,"We received and successfully imported your invoice in the email with subject: FW: Your latest invoice from BOC Ltd - 3032688056 Please note: Emails must comply with the following requirements: - File formats must either be .PDF or .TIFF file formats. Any other file format will be rejected. - Each file / attachment must contain only one invoice along with any supporting documentation. If a single invoice is sent in separate files, they will not be merged into one. If a file contains more than one invoice it will not be split but treated as one invoice. Please do not respond to this mail as it is an auto-generated email. Best Regards, Accounts Payable"
Open Item reports,"D ear team,   Please find attached OIR for Turkey 27 and 2V.   Could you please also match below items?     Thank you.   Best regards,   Elida Gemai Team Member | T&E Department   Phone: +20 2262822573 teturkey@aabbccaaabbb aabbccaaabbb     qqq   For any question related to travel expenses visit our EMEA T&E InfoPoint  and   contact Us on the T&E Helpdesk . This information may be confidential and/or privileged. Use of this information by anyone other than the intended recipient is prohibited. If you receive this in error, please inform the sender and remove any record of this message.  P Please consider the environment before printing this email.    "
Concur issues,"Dear Team,   Please send me the list of employees approve the report by YVES  LAROCHE. Thanks   Leila  "
Payment confirmation,"Dear Team,   May I ask you to please provide us payment confirmation for the below Invoice.         Many Thanks ,   Mahesh Bairu AP Team member | P2P Commercial Email: ap.uk@aabbccaaabbb   aabbccaaabbb | Facebook   |  LinkedIn   |  Twitter   |  YouTube   qqq       From: BOC Limited (noreply@ebilling.bocaaabbb) [mailto:ebilling_uk@bocaaabbb] Sent: Monday, November 02, 2025 6:03 AM To: UK, AP <ap.uk@aabbccaaabbb> Subject: Your BOC Ltd Account is currently overdue   Dear Customer Account Name: aabbcc UK Commercial Ltd Account No.: 0002228202A Please find attached your notification of overdue payment. You currently have an overdue balance of 45.84 on your BOC account. If you have any questions about the payment of your invoice please contact us using the details below. Kind regards BOC Accounts Team BOC, Customer Service Centre, Priestley Road, Manchester, M28 2UT E-mail: custserv@bocaaabbb Dont miss a payment ever again. Sign up for Direct Debit. It's simple to do, just contact our Customer Service Centre on 0800 222 333. ***This is an automatically generated email. Please do not reply. ***   Sent from the BOC Group Limited, registered in England and Wales No.22026, or from its subsidiary, BOC Limited, registered in England and Wales No.337663 - members of The Linde Group. Registered office of both companies - The Priestley Centre, 20 Priestley Road, Surrey Research Park, Guildford, Surrey, GU2 7XY, England. The information contained in this email and any attachments may be confidential and is provided solely for the use of the intended recipient(s). If you are not the intended recipient, you are hereby notified that any disclosure, distribution, or use of this e-mail, its attachments or any information contained therein is unauthorized and prohibited. If you have received this in error, please contact the sender immediately and delete this e-mail and any attachments. No responsibility is accepted for any virus or defect that might arise from opening this e-mail or attachments, whether or not it has been checked by anti-virus software."
